Stay    ;BodyType ;AircraftType ;Towable ;Arr_OwnerCie ;Arr_ExploitingCie ;Arr_Number ;Arr_Date   ;Arr_Hour ;Arr_CourrierCode ;Arr_Stop ;Dep_OwnerCie ;Dep_ExploitingCie ;Dep_Number ;Dep_Date   ;Dep_Hour ;Dep_CourrierCode ;Dep_Stop
2309996 ;MP       ;319          ;      1 ;AF           ;AF                ;      1085 ;21/06/2016 ;13:15    ;MC               ;TUN      ;AF           ;AF                ;      1844 ;21/06/2016 ;16:00    ;MC               ;SVO
2309997 ;MP       ;319          ;      0 ;AF           ;AF                ;      1391 ;21/06/2016 ;08:55    ;MC               ;IST      ;AF           ;AF                ;      1854 ;21/06/2016 ;09:45    ;MC               ;ALG
2309999 ;MP       ;318          ;      0 ;AF           ;AF                ;      1123 ;21/06/2016 ;08:55    ;MC               ;MUC      ;AF           ;AF                ;      1842 ;21/06/2016 ;10:00    ;MC               ;GVA
2310000 ;MP       ;321          ;      0 ;AF           ;AF                ;      1349 ;21/06/2016 ;14:40    ;MC               ;BCN      ;AF           ;AF                ;      1834 ;21/06/2016 ;15:35    ;MC               ;TXL
2310001 ;MP       ;319          ;      1 ;AF           ;AF                ;      1153 ;21/06/2016 ;08:45    ;MC               ;LED      ;AF           ;AF                ;      1890 ;21/06/2016 ;12:35    ;MC               ;IST
2310002 ;MP       ;319          ;      1 ;AF           ;AF                ;      1745 ;20/06/2016 ;21:40    ;MC               ;SVO      ;AF           ;AF                ;      1896 ;21/06/2016 ;07:15    ;MC               ;CMN
2310003 ;3N       ;E90          ;      0 ;A5           ;AF                ;      1119 ;21/06/2016 ;20:00    ;MC               ;FRA      ;A5           ;AF                ;      1886 ;21/06/2016 ;20:45    ;MC               ;EDI
2310004 ;MP       ;320          ;      1 ;AF           ;AF                ;      1121 ;21/06/2016 ;05:00    ;MC               ;TLV      ;AF           ;AF                ;      1888 ;21/06/2016 ;10:25    ;MC               ;OTP
2310005 ;MP       ;319          ;      1 ;AF           ;AF                ;      1051 ;20/06/2016 ;22:15    ;MC               ;CPH      ;AF           ;AF                ;      7516 ;21/06/2016 ;07:20    ;MC               ;TLS
2310006 ;MP       ;320          ;      0 ;AF           ;AF                ;      7521 ;21/06/2016 ;12:05    ;MC               ;TLS      ;AF           ;AF                ;      7528 ;21/06/2016 ;13:00    ;MC               ;TLS
2310007 ;3N       ;E90          ;      0 ;A5           ;AF                ;      1519 ;21/06/2016 ;11:55    ;MC               ;FRA      ;A5           ;AF                ;      7534 ;21/06/2016 ;12:35    ;MC               ;PUF
